"TweetId (S)","URL (S)","topic (S)","type (S)","user_type (S)"
"1106814134388027392","https://www.ebay.co.uk/itm/332585438975","ecig","None Found","Bot"
"1106817185459113984","https://www.lawenforcementtoday.com/how-do-cops-spot-the-difference-between-legal-hemp-and-marijuana/","weed","None Found","Bot"
"1106831865632165888","https://legalweed.gq/420/ca-bureau-of-cannabis-control-update-events-fact-sheet/","ecig","None Found","Bot"
"1106832064287002625","https://reason.com/blog/2019/03/15/trump-white-house-claims-executive-privi","weed","None Found","Human"
"1106835637926154240","https://t.co/DLzsBlyPZI%E2%80%A6","weed","None Found","Human"
"1106839771672924160","https://www.cosmopolitan.co.za/health-fitness/how-to-get-a-safe-abortion-in-south-africa/","ecig","None Found","Human"
"1106848658727813120","http://canis.social/","weed","None Found","Bot"
"1106858214124146689","http://tweetedtimes.com/v/361","weed","Commercial","Human"
"1106858972764651520","https://www.lifenews.com/2019/03/15/oklahoma-senate-passes-measure-saying-there-is-no-right-to-abortion/#.XIzKWRs1oMY.twitter","ecig","Fake News","Bot"
"1106859912490086400","http://robotsforeyespodcast.libsyn.com/eps-119-the-hiv-and-aids-conspiracy?tdest_id=574838","aids","None Found","Human"
"1106860121638862848","https://www.ebay.co.uk/itm/332585438975","ecig","None Found","Bot"
"1106863241341386753","https://paper.li/RedRibbonAIDS/1549167494?edition_id=5d03d850-47d5-11e9-b211-0cc47a0d164b","ecig","None Found","Human"
"1106864138582740994","https://www.phillyvoice.com/pennsylvania-gov-tom-wolf-messages-marijuana/?fbclid=IwAR3TI8Z0hmfNEeNLzda1qISzmXWW0A8STC-ITFFMOubF97XNzlK-5TIgpdU","ecig","None Found","Bot"
"1106864622848671744","https://www.thedailybeast.com/amazon-wont-take-a-stand-in-war-over-forrest-maready-book-the-autism-vaccine","weed","Fake News","Human"
"1106865697366388736","https://www.cato.org/publications/commentary/wall-wont-end-pot-smuggling-border-legalization-will","weed","Fake News","Human"
"1106870530353836032","https://www.google.com/url?rct=j&sa=t&url=https://www.krem.com/video/news/most-teens-use-marijuana-less-after-legalization-in-washington-wsu-study-finds/293-c9a05162-07e6-4519-8600-ac087d0ae118&ct=ga&cd=CAIyGjBlMzRlNDE1MjBjNWEwNTM6Y29tOmVuOlVT&usg=AFQjCNHZTJCxXwp9U-WRhjRV21ULsCup2g","weed","Blog","Bot"
"1106872899812708352","http://www.zaratealerta.com.ar/2019/03/07/el-aceite-de-cannabis-medicinal-ya-es-legal-en-argentina/?fbclid=IwAR1dHfYahhal3tCkOh7onvlUV9NfUynmNK9rxpjZ14tTiik_pOgGP65GASE","ecig","None Found","Bot"
"1106873364608634880","https://www.jw.org/en/publications/magazines/g19930522/the-abortion-dilemma/","weed","None Found","Bot"
"1106877325763887105","https://www.ricksimpsonsoil.com/2018/09/why-is-marijuana-suddenly-being.html?spref=tw","weed","None Found","Bot"
